id,content
1,"คำถาม: วันสุดท้ายคณะส่งข้อมูลรายวิชาตามแผนการศึกษาที่เปิดสอน ถึง กองบริการการศึกษา คำตอบ: 27 ก.พ. 68"
2,"คำถาม: วันสุดท้ายของการรับเอกสารขอโอนย้ายสถานศึกษา คำตอบ: 9 พ.ค. 68"
3,"คำถาม: นิสิตยื่นคำร้องขอเทียบโอนรายวิชาและผลการเรียนจากสถานศึกษาเดิม (UP 09) คำตอบ: 9 พ.ค. - 12 มิ.ย. 68"
4,"คำถาม: คณะรับคำร้องขอเทียบโอนรายวิชาและผลการเรียนจากสถานศึกษาเดิม (UP 09) คำตอบ: 9 พ.ค. - 13 มิ.ย. 68"
5,"คำถาม: นิสิตยื่นคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ถึง คณะต้นสังกัดของนิสิต (UP10) คำตอบ: 21 เม.ย. - 2 พ.ค. 68"
6,"คำถาม: คณะต้นสังกัดส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยัง คณะที่รับย้าย คำตอบ: 6 - 9 พ.ค. 68"
7,"คำถาม: คณะที่รับย้ายส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยัง กองบริการการศึกษา คำตอบ: 13 - 16 พ.ค. 68"
8,"คำถาม: คณะตรวจสอบรายวิชาตามแผนการศึกษา คำตอบ: 14 - 16 พ.ค. 68"
9,"คำถาม: วันประกาศตารางเรียนตารางสอน คำตอบ: 19 พ.ค. 68"
10,"คำถาม: วันพบอาจารย์ที่ปรึกษา คำตอบ: 19 พ.ค. 68"
11,"คำถาม: นิสิตยื่นความประสงค์ลงทะเบียนรายวิชาตามแผนการศึกษาผ่านระบบ (UP 20.1) คำตอบ: 19 พ.ค. - 16 มิ.ย. 68"
12,"คำถาม: วันลงทะเบียนเรียน และลงทะเบียนรักษาสภาพการเป็นนิสิต คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
13,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (เริ่มชำระได้ตั้งแต่ยืนยันการลงทะเบียน) คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
14,"คำถาม: นิสิตยื่นคำร้องขอสำเร็จการศึกษา (UP 24) และชำระเงินค่าขึ้นทะเบียนปริญญาบัตร คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
15,"คำถาม: นิสิตยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
16,"คำถาม: คณะส่งคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ถึง กองบริการการศึกษา คำตอบ: 27 พ.ค. - 6 มิ.ย. 68"
17,"คำถาม: วันสุดท้ายคณะรับคำร้องขอสำเร็จการศึกษา (UP 24) คำตอบ: 6 มิ.ย. 68"
18,"คำถาม: วันสุดท้ายคณะรวบรวมรายชื่อขอสำเร็จการศึกษา (UP 24) ถึง กองบริการการศึกษา คำตอบ: 11 มิ.ย. 68"
19,"คำถาม: คณะส่งแบบฟอร์มการขอเปลี่ยนแปลงตารางเรียนตารางสอน (UP 20) ถึง กองบริการการศึกษา คำตอบ: 29 พ.ค. - 18 มิ.ย. 68"
20,"คำถาม: คณะส่งแบบฟอร์มการขอเปิดรายวิชาฯ (UP 21) ถึง กองบริการการศึกษา คำตอบ: 29 พ.ค. - 18 มิ.ย. 68"
21,"คำถาม: วันเปิดภาคการศึกษา (ฝึกงาน ณ สาธารณรัฐประชาชนจีน) คำตอบ: 9 มิ.ย. 68"
22,"คำถาม: ลงทะเบียนเรียนช้า และลงทะเบียนรักษาสภาพการเป็นนิสิต เพิ่ม-ถอนรายวิชาไม่ได้รับอักษร W คำตอบ: 9 - 20 มิ.ย. 68"
23,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 20 มิ.ย. 68"
24,"คำถาม: นิสิตยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 20 มิ.ย. 68"
25,"คำถาม: คณะรับคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 23 มิ.ย. 68"
26,"คำถาม: นิสิตยื่นคำร้องขอสำเร็จการศึกษาล่าช้า (UP 25) คำตอบ: 7 มิ.ย. - 22 ส.ค. 68"
27,"คำถาม: คณะรับคำร้องขอสำเร็จการศึกษาล่าช้า (UP 25) คำตอบ: 7 มิ.ย. - 25 ส.ค. 68"
28,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึง คณะเจ้าของรายวิชา คำตอบ: 7 ก.ค. 68"
29,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึง กองบริการการศึกษา คำตอบ: 14 ก.ค. 68"
30,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) (นิสิต) คำตอบ: 25 ก.ค. 68"
31,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอเพิ่มรายวิชาหลังกำหนด (UP 5) (นิสิต) คำตอบ: 25 ก.ค. 68"
32,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) ถึง กองบริการการศึกษา คำตอบ: 29 ก.ค. 68"
33,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอเพิ่มรายวิชาหลังกำหนด (UP 5) ถึง กองบริการการศึกษา คำตอบ: 29 ก.ค. 68"
34,"คำถาม: วันสุดท้ายของการชำระค่าลงทะเบียนเรียน กรณีได้รับอนุมัติให้ผ่อนผัน (UP 18) คำตอบ: 4 ส.ค. 68"
35,"คำถาม: นิสิตยื่นคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) คำตอบ: 15 ก.ย. 68"
36,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) ถึง กองบริการการศึกษา คำตอบ: 19 ก.ย. 68"
37,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาพักการศึกษา (UP 13) คำตอบ: 26 ก.ย. 68"
38,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาออกโดยไม่ได้รับผลการเรียน (UP 14) คำตอบ: 26 ก.ย. 68"
39,"คำถาม: วันประเมินการสอนผ่านระบบทะเบียนออนไลน์ คำตอบ: 3 - 16 พ.ค. 69"
